"Epoch","devoted-sound-306 - _step","devoted-sound-306 - _step__MIN","devoted-sound-306 - _step__MAX","devoted-sound-306 - NMI score","devoted-sound-306 - NMI score__MIN","devoted-sound-306 - NMI score__MAX","copper-waterfall-309 - _step","copper-waterfall-309 - _step__MIN","copper-waterfall-309 - _step__MAX","copper-waterfall-309 - NMI score","copper-waterfall-309 - NMI score__MIN","copper-waterfall-309 - NMI score__MAX","amber-rain-344 - _step","amber-rain-344 - _step__MIN","amber-rain-344 - _step__MAX","amber-rain-344 - NMI score","amber-rain-344 - NMI score__MIN","amber-rain-344 - NMI score__MAX","worthy-yogurt-341 - _step","worthy-yogurt-341 - _step__MIN","worthy-yogurt-341 - _step__MAX","worthy-yogurt-341 - NMI score","worthy-yogurt-341 - NMI score__MIN","worthy-yogurt-341 - NMI score__MAX","driven-waterfall-297 - _step","driven-waterfall-297 - _step__MIN","driven-waterfall-297 - _step__MAX","driven-waterfall-297 - NMI score","driven-waterfall-297 - NMI score__MIN","driven-waterfall-297 - NMI score__MAX","fancy-waterfall-343 - _step","fancy-waterfall-343 - _step__MIN","fancy-waterfall-343 - _step__MAX","fancy-waterfall-343 - NMI score","fancy-waterfall-343 - NMI score__MIN","fancy-waterfall-343 - NMI score__MAX"
"1","29","29","29","0.5903083088648859","0.5903083088648859","0.5903083088648859","29","29","29","0.6848625370813222","0.6848625370813222","0.6848625370813222","29","29","29","0.5499613449038252","0.5499613449038252","0.5499613449038252","29","29","29","0.7066710881481484","0.7066710881481484","0.7066710881481484","29","29","29","0.6845786474015265","0.6845786474015265","0.6845786474015265","29","29","29","0.5382351516239441","0.5382351516239441","0.5382351516239441"
"2","59","59","59","0.5790893876871007","0.5790893876871007","0.5790893876871007","59","59","59","0.6865923240702332","0.6865923240702332","0.6865923240702332","59","59","59","0.561188654124664","0.561188654124664","0.561188654124664","59","59","59","0.6933780246992765","0.6933780246992765","0.6933780246992765","59","59","59","0.6845071545788863","0.6845071545788863","0.6845071545788863","59","59","59","0.581144805187931","0.581144805187931","0.581144805187931"
"3","89","89","89","0.5932879942459898","0.5932879942459898","0.5932879942459898","89","89","89","0.685614014512011","0.685614014512011","0.685614014512011","89","89","89","0.5580184236906818","0.5580184236906818","0.5580184236906818","89","89","89","0.687716389892367","0.687716389892367","0.687716389892367","89","89","89","0.6845350140036385","0.6845350140036385","0.6845350140036385","89","89","89","0.5886397090860415","0.5886397090860415","0.5886397090860415"
"4","119","119","119","0.5705107548518327","0.5705107548518327","0.5705107548518327","119","119","119","0.6847628714604324","0.6847628714604324","0.6847628714604324","119","119","119","0.5631575573964136","0.5631575573964136","0.5631575573964136","119","119","119","0.6841017003856986","0.6841017003856986","0.6841017003856986","119","119","119","0.6851103527193444","0.6851103527193444","0.6851103527193444","119","119","119","0.5901622413361319","0.5901622413361319","0.5901622413361319"
"5","149","149","149","0.5649625462643488","0.5649625462643488","0.5649625462643488","149","149","149","0.6841974370548202","0.6841974370548202","0.6841974370548202","149","149","149","0.5784185461422615","0.5784185461422615","0.5784185461422615","149","149","149","0.6876327782966196","0.6876327782966196","0.6876327782966196","149","149","149","0.6847918639890722","0.6847918639890722","0.6847918639890722","149","149","149","0.6086511787839569","0.6086511787839569","0.6086511787839569"
"6","179","179","179","0.5821005531423864","0.5821005531423864","0.5821005531423864","179","179","179","0.6840101069814363","0.6840101069814363","0.6840101069814363","179","179","179","0.5977659025521103","0.5977659025521103","0.5977659025521103","179","179","179","0.6878957642877424","0.6878957642877424","0.6878957642877424","179","179","179","0.6847918639890722","0.6847918639890722","0.6847918639890722","179","179","179","0.605940736516557","0.605940736516557","0.605940736516557"
"7","209","209","209","0.5850395430872747","0.5850395430872747","0.5850395430872747","","","","","","","209","209","209","0.6193210369950888","0.6193210369950888","0.6193210369950888","209","209","209","0.6874987590231849","0.6874987590231849","0.6874987590231849","","","","","","","209","209","209","0.6002717840988981","0.6002717840988981","0.6002717840988981"
"8","239","239","239","0.5896981158618003","0.5896981158618003","0.5896981158618003","","","","","","","239","239","239","0.628756514610647","0.628756514610647","0.628756514610647","239","239","239","0.6863496208889697","0.6863496208889697","0.6863496208889697","","","","","","","239","239","239","0.5905891657760345","0.5905891657760345","0.5905891657760345"
"9","269","269","269","0.6085248532619782","0.6085248532619782","0.6085248532619782","","","","","","","269","269","269","0.6415197822848066","0.6415197822848066","0.6415197822848066","269","269","269","0.6842193383928314","0.6842193383928314","0.6842193383928314","","","","","","","269","269","269","0.5846066624195801","0.5846066624195801","0.5846066624195801"
"10","299","299","299","0.6078842491079934","0.6078842491079934","0.6078842491079934","","","","","","","299","299","299","0.6392092980218118","0.6392092980218118","0.6392092980218118","299","299","299","0.6853203921645179","0.6853203921645179","0.6853203921645179","","","","","","","299","299","299","0.5638845367052919","0.5638845367052919","0.5638845367052919"
