"Epoch","devoted-sound-306 - _step","devoted-sound-306 - _step__MIN","devoted-sound-306 - _step__MAX","devoted-sound-306 - RI score","devoted-sound-306 - RI score__MIN","devoted-sound-306 - RI score__MAX","copper-waterfall-309 - _step","copper-waterfall-309 - _step__MIN","copper-waterfall-309 - _step__MAX","copper-waterfall-309 - RI score","copper-waterfall-309 - RI score__MIN","copper-waterfall-309 - RI score__MAX","amber-rain-344 - _step","amber-rain-344 - _step__MIN","amber-rain-344 - _step__MAX","amber-rain-344 - RI score","amber-rain-344 - RI score__MIN","amber-rain-344 - RI score__MAX","worthy-yogurt-341 - _step","worthy-yogurt-341 - _step__MIN","worthy-yogurt-341 - _step__MAX","worthy-yogurt-341 - RI score","worthy-yogurt-341 - RI score__MIN","worthy-yogurt-341 - RI score__MAX","driven-waterfall-297 - _step","driven-waterfall-297 - _step__MIN","driven-waterfall-297 - _step__MAX","driven-waterfall-297 - RI score","driven-waterfall-297 - RI score__MIN","driven-waterfall-297 - RI score__MAX","fancy-waterfall-343 - _step","fancy-waterfall-343 - _step__MIN","fancy-waterfall-343 - _step__MAX","fancy-waterfall-343 - RI score","fancy-waterfall-343 - RI score__MIN","fancy-waterfall-343 - RI score__MAX"
"1","29","29","29","0.9592139417306906","0.9592139417306906","0.9592139417306906","29","29","29","0.9675527814051109","0.9675527814051109","0.9675527814051109","29","29","29","0.9556467934022237","0.9556467934022237","0.9556467934022237","29","29","29","0.9716840559673126","0.9716840559673126","0.9716840559673126","29","29","29","0.967534273882792","0.967534273882792","0.967534273882792","29","29","29","0.9565087353386164","0.9565087353386164","0.9565087353386164"
"2","59","59","59","0.9604717468543923","0.9604717468543923","0.9604717468543923","59","59","59","0.967657751550782","0.967657751550782","0.967657751550782","59","59","59","0.9558046018177212","0.9558046018177212","0.9558046018177212","59","59","59","0.9699514128091551","0.9699514128091551","0.9699514128091551","59","59","59","0.9674827071221326","0.9674827071221326","0.9674827071221326","59","59","59","0.9564817510885179","0.9564817510885179","0.9564817510885179"
"3","89","89","89","0.9599758582792836","0.9599758582792836","0.9599758582792836","89","89","89","0.9676472969198538","0.9676472969198538","0.9676472969198538","89","89","89","0.9569588495837149","0.9569588495837149","0.9569588495837149","89","89","89","0.9693384041118911","0.9693384041118911","0.9693384041118911","89","89","89","0.9674482350958287","0.9674482350958287","0.9674482350958287","89","89","89","0.95643089072184","0.95643089072184","0.95643089072184"
"4","119","119","119","0.9588545284728341","0.9588545284728341","0.9588545284728341","119","119","119","0.9676437649499456","0.9676437649499456","0.9676437649499456","119","119","119","0.9540752080718793","0.9540752080718793","0.9540752080718793","119","119","119","0.9689354769847658","0.9689354769847658","0.9689354769847658","119","119","119","0.9674598199571275","0.9674598199571275","0.9674598199571275","119","119","119","0.9571422294613477","0.9571422294613477","0.9571422294613477"
"5","149","149","149","0.9575217043082828","0.9575217043082828","0.9575217043082828","149","149","149","0.9676136725663279","0.9676136725663279","0.9676136725663279","149","149","149","0.9553886770413338","0.9553886770413338","0.9553886770413338","149","149","149","0.9690434139851598","0.9690434139851598","0.9690434139851598","149","149","149","0.9674370740709188","0.9674370740709188","0.9674370740709188","149","149","149","0.959495086535382","0.959495086535382","0.959495086535382"
"6","179","179","179","0.9562970997017181","0.9562970997017181","0.9562970997017181","179","179","179","0.967604630723363","0.967604630723363","0.967604630723363","179","179","179","0.9563538937778416","0.9563538937778416","0.9563538937778416","179","179","179","0.9689607658893084","0.9689607658893084","0.9689607658893084","179","179","179","0.9674370740709188","0.9674370740709188","0.9674370740709188","179","179","179","0.9584192485013499","0.9584192485013499","0.9584192485013499"
"7","209","209","209","0.9595657259335456","0.9595657259335456","0.9595657259335456","","","","","","","209","209","209","0.959370337358225","0.959370337358225","0.959370337358225","209","209","209","0.9690455331671047","0.9690455331671047","0.9690455331671047","","","","","","","209","209","209","0.9571192010175464","0.9571192010175464","0.9571192010175464"
"8","239","239","239","0.9549097419217843","0.9549097419217843","0.9549097419217843","","","","","","","239","239","239","0.9578623274862278","0.9578623274862278","0.9578623274862278","239","239","239","0.9689760239993117","0.9689760239993117","0.9689760239993117","","","","","","","239","239","239","0.9565200376423225","0.9565200376423225","0.9565200376423225"
"9","269","269","269","0.9624969783997436","0.9624969783997436","0.9624969783997436","","","","","","","269","269","269","0.9595198103247392","0.9595198103247392","0.9595198103247392","269","269","269","0.9688011208494586","0.9688011208494586","0.9688011208494586","","","","","","","269","269","269","0.9548751286166842","0.9548751286166842","0.9548751286166842"
"10","299","299","299","0.9578062398040859","0.9578062398040859","0.9578062398040859","","","","","","","299","299","299","0.9627149715824765","0.9627149715824765","0.9627149715824765","299","299","299","0.9688460475066906","0.9688460475066906","0.9688460475066906","","","","","","","299","299","299","0.9540062640192716","0.9540062640192716","0.9540062640192716"
"11","329","329","329","0.9632742943371362","0.9632742943371362","0.9632742943371362","","","","","","","329","329","329","0.9615001152128584","0.9615001152128584","0.9615001152128584","329","329","329","0.96885876259836","0.96885876259836","0.96885876259836","","","","","","","329","329","329","0.9548978745028929","0.9548978745028929","0.9548978745028929"
"12","359","359","359","0.960502686910788","0.960502686910788","0.960502686910788","","","","","","","359","359","359","0.9631085743090443","0.9631085743090443","0.9631085743090443","","","","","","","","","","","","","359","359","359","0.9549748714468913","0.9549748714468913","0.9549748714468913"
"13","389","389","389","0.9648609964986876","0.9648609964986876","0.9648609964986876","","","","","","","389","389","389","0.9634415684319876","0.9634415684319876","0.9634415684319876","","","","","","","","","","","","","389","389","389","0.9561435296501103","0.9561435296501103","0.9561435296501103"
"14","419","419","419","0.9653838693238947","0.9653838693238947","0.9653838693238947","","","","","","","419","419","419","0.9618839697024796","0.9618839697024796","0.9618839697024796","","","","","","","","","","","","","419","419","419","0.9542674885136807","0.9542674885136807","0.9542674885136807"
"15","449","449","449","0.9637731497669677","0.9637731497669677","0.9637731497669677","","","","","","","449","449","449","0.9626691972524665","0.9626691972524665","0.9626691972524665","","","","","","","","","","","","","449","449","449","0.9567819685307132","0.9567819685307132","0.9567819685307132"
"16","479","479","479","0.9623956815027769","0.9623956815027769","0.9623956815027769","","","","","","","479","479","479","0.9624188512253746","0.9624188512253746","0.9624188512253746","","","","","","","","","","","","","479","479","479","0.9588692214676522","0.9588692214676522","0.9588692214676522"
"17","509","509","509","0.9650281293147427","0.9650281293147427","0.9650281293147427","","","","","","","509","509","509","0.9596982454445006","0.9596982454445006","0.9596982454445006","","","","","","","","","","","","","509","509","509","0.9577491631703696","0.9577491631703696","0.9577491631703696"
"18","539","539","539","0.9634832456769041","0.9634832456769041","0.9634832456769041","","","","","","","539","539","539","0.9580349701753397","0.9580349701753397","0.9580349701753397","","","","","","","","","","","","","539","539","539","0.9511562468609618","0.9511562468609618","0.9511562468609618"
"19","569","569","569","0.9639326535280212","0.9639326535280212","0.9639326535280212","","","","","","","569","569","569","0.9583719201045802","0.9583719201045802","0.9583719201045802","","","","","","","","","","","","","569","569","569","0.9492198796785003","0.9492198796785003","0.9492198796785003"
"20","599","599","599","0.9600853493464372","0.9600853493464372","0.9600853493464372","","","","","","","599","599","599","0.9606292727122971","0.9606292727122971","0.9606292727122971","","","","","","","","","","","","","599","599","599","0.9477306598864147","0.9477306598864147","0.9477306598864147"
"21","629","629","629","0.9650025578526075","0.9650025578526075","0.9650025578526075","","","","","","","629","629","629","0.9599670989939113","0.9599670989939113","0.9599670989939113","","","","","","","","","","","","","629","629","629","0.9495325296547725","0.9495325296547725","0.9495325296547725"
"22","659","659","659","0.9620478531062192","0.9620478531062192","0.9620478531062192","","","","","","","659","659","659","0.9579285872417053","0.9579285872417053","0.9579285872417053","","","","","","","","","","","","","659","659","659","0.948676238870233","0.948676238870233","0.948676238870233"
"23","689","689","689","0.9628154208066652","0.9628154208066652","0.9628154208066652","","","","","","","689","689","689","0.9602019043534072","0.9602019043534072","0.9602019043534072","","","","","","","","","","","","","689","689","689","0.9479673018702628","0.9479673018702628","0.9479673018702628"
"24","719","719","719","0.962307664812665","0.962307664812665","0.962307664812665","","","","","","","719","719","719","0.956299218883663","0.956299218883663","0.956299218883663","","","","","","","","","","","","","719","719","719","0.9481152207700174","0.9481152207700174","0.9481152207700174"
"25","749","749","749","0.9640208114969294","0.9640208114969294","0.9640208114969294","","","","","","","749","749","749","0.9612842412120703","0.9612842412120703","0.9612842412120703","","","","","","","","","","","","","749","749","749","0.9511999020090268","0.9511999020090268","0.9511999020090268"
"26","779","779","779","0.9632954861565852","0.9632954861565852","0.9632954861565852","","","","","","","779","779","779","0.958771173983001","0.958771173983001","0.958771173983001","","","","","","","","","","","","","779","779","779","0.9488305153158224","0.9488305153158224","0.9488305153158224"
"27","809","809","809","0.9654937842274374","0.9654937842274374","0.9654937842274374","","","","","","","809","809","809","0.959206736512078","0.959206736512078","0.959206736512078","","","","","","","","","","","","","809","809","809","0.9443498582903034","0.9443498582903034","0.9443498582903034"
"28","839","839","839","0.9674033084385967","0.9674033084385967","0.9674033084385967","","","","","","","839","839","839","0.9622329283294079","0.9622329283294079","0.9622329283294079","","","","","","","","","","","","","839","839","839","0.9483401366137705","0.9483401366137705","0.9483401366137705"
"29","869","869","869","0.9663961318995796","0.9663961318995796","0.9663961318995796","","","","","","","869","869","869","0.9618493563973793","0.9618493563973793","0.9618493563973793","","","","","","","","","","","","","869","869","869","0.9558041779813322","0.9558041779813322","0.9558041779813322"
"30","899","899","899","0.9646362219337309","0.9646362219337309","0.9646362219337309","","","","","","","899","899","899","0.957638824430438","0.957638824430438","0.957638824430438","","","","","","","","","","","","","899","899","899","0.9518151711670321","0.9518151711670321","0.9518151711670321"
"31","929","929","929","0.9661693794314743","0.9661693794314743","0.9661693794314743","","","","","","","929","929","929","0.9621037995095648","0.9621037995095648","0.9621037995095648","","","","","","","","","","","","","929","929","929","0.9505313707448063","0.9505313707448063","0.9505313707448063"
