"Epoch","fearless-sun-353 - _step","fearless-sun-353 - _step__MIN","fearless-sun-353 - _step__MAX","fearless-sun-353 - RI score","fearless-sun-353 - RI score__MIN","fearless-sun-353 - RI score__MAX","silvery-fog-321 - _step","silvery-fog-321 - _step__MIN","silvery-fog-321 - _step__MAX","silvery-fog-321 - RI score","silvery-fog-321 - RI score__MIN","silvery-fog-321 - RI score__MAX","honest-feather-317 - _step","honest-feather-317 - _step__MIN","honest-feather-317 - _step__MAX","honest-feather-317 - RI score","honest-feather-317 - RI score__MIN","honest-feather-317 - RI score__MAX","rare-tree-337 - _step","rare-tree-337 - _step__MIN","rare-tree-337 - _step__MAX","rare-tree-337 - RI score","rare-tree-337 - RI score__MIN","rare-tree-337 - RI score__MAX","pleasant-grass-346 - _step","pleasant-grass-346 - _step__MIN","pleasant-grass-346 - _step__MAX","pleasant-grass-346 - RI score","pleasant-grass-346 - RI score__MIN","pleasant-grass-346 - RI score__MAX","brisk-valley-351 - _step","brisk-valley-351 - _step__MIN","brisk-valley-351 - _step__MAX","brisk-valley-351 - RI score","brisk-valley-351 - RI score__MIN","brisk-valley-351 - RI score__MAX","brisk-moon-313 - _step","brisk-moon-313 - _step__MIN","brisk-moon-313 - _step__MAX","brisk-moon-313 - RI score","brisk-moon-313 - RI score__MIN","brisk-moon-313 - RI score__MAX"
"1","139","139","139","0.6971233293892691","0.6971233293892691","0.6971233293892691","34","34","34","0.7731811623506623","0.7731811623506623","0.7731811623506623","34","34","34","0.8411965991183269","0.8411965991183269","0.8411965991183269","34","34","34","0.8448353228391271","0.8448353228391271","0.8448353228391271","34","34","34","0.8210785767420032","0.8210785767420032","0.8210785767420032","34","34","34","0.8253595339014783","0.8253595339014783","0.8253595339014783","34","34","34","0.8411548619327911","0.8411548619327911","0.8411548619327911"
"2","279","279","279","0.6514100279079985","0.6514100279079985","0.6514100279079985","69","69","69","0.8070525858582833","0.8070525858582833","0.8070525858582833","69","69","69","0.8412349414131731","0.8412349414131731","0.8412349414131731","69","69","69","0.8448403153254352","0.8448403153254352","0.8448403153254352","69","69","69","0.825475758982731","0.825475758982731","0.825475758982731","69","69","69","0.8252450062655703","0.8252450062655703","0.8252450062655703","69","69","69","0.8412372379568749","0.8412372379568749","0.8412372379568749"
"3","419","419","419","0.6241138087178796","0.6241138087178796","0.6241138087178796","104","104","104","0.802887853780061","0.802887853780061","0.802887853780061","104","104","104","0.8412542124103225","0.8412542124103225","0.8412542124103225","104","104","104","0.8446340257911843","0.8446340257911843","0.8446340257911843","104","104","104","0.8178030064752547","0.8178030064752547","0.8178030064752547","104","104","104","0.8204463282759447","0.8204463282759447","0.8204463282759447","104","104","104","0.8412105780799897","0.8412105780799897","0.8412105780799897"
"4","559","559","559","0.7316479698054428","0.7316479698054428","0.7316479698054428","139","139","139","0.7943786601165246","0.7943786601165246","0.7943786601165246","","","","","","","139","139","139","0.8443667280742483","0.8443667280742483","0.8443667280742483","139","139","139","0.8069695108861163","0.8069695108861163","0.8069695108861163","139","139","139","0.8182011073334632","0.8182011073334632","0.8182011073334632","139","139","139","0.8410473237777145","0.8410473237777145","0.8410473237777145"
"5","699","699","699","0.682412369384077","0.682412369384077","0.682412369384077","174","174","174","0.7944944857988727","0.7944944857988727","0.7944944857988727","","","","","","","174","174","174","0.844272370083025","0.844272370083025","0.844272370083025","174","174","174","0.8107832711768788","0.8107832711768788","0.8107832711768788","174","174","174","0.8220131701788808","0.8220131701788808","0.8220131701788808","174","174","174","0.840771039585424","0.840771039585424","0.840771039585424"
"6","839","839","839","0.5855168970699098","0.5855168970699098","0.5855168970699098","209","209","209","0.7560681174831878","0.7560681174831878","0.7560681174831878","","","","","","","209","209","209","0.8441554460536892","0.8441554460536892","0.8441554460536892","209","209","209","0.7974760984717999","0.7974760984717999","0.7974760984717999","209","209","209","0.8225492633586452","0.8225492633586452","0.8225492633586452","209","209","209","0.8408034907464266","0.8408034907464266","0.8408034907464266"
"7","979","979","979","0.5746933864533876","0.5746933864533876","0.5746933864533876","244","244","244","0.787502009475739","0.787502009475739","0.787502009475739","","","","","","","244","244","244","0.8443482558749082","0.8443482558749082","0.8443482558749082","244","244","244","0.8043945861478475","0.8043945861478475","0.8043945861478475","244","244","244","0.8243747160523412","0.8243747160523412","0.8243747160523412","","","","","",""
"8","1119","1119","1119","0.5714832177572753","0.5714832177572753","0.5714832177572753","279","279","279","0.8116858128516583","0.8116858128516583","0.8116858128516583","","","","","","","279","279","279","0.8442674774464431","0.8442674774464431","0.8442674774464431","279","279","279","0.7933524046310303","0.7933524046310303","0.7933524046310303","279","279","279","0.8217230068746536","0.8217230068746536","0.8217230068746536","","","","","",""
"9","1259","1259","1259","0.5792645069170897","0.5792645069170897","0.5792645069170897","314","314","314","0.8092207228121677","0.8092207228121677","0.8092207228121677","","","","","","","314","314","314","0.8441439633351806","0.8441439633351806","0.8441439633351806","314","314","314","0.8215319943485055","0.8215319943485055","0.8215319943485055","314","314","314","0.8120748273847859","0.8120748273847859","0.8120748273847859","","","","","",""
"10","1399","1399","1399","0.6187690525758733","0.6187690525758733","0.6187690525758733","349","349","349","0.7877708049385674","0.7877708049385674","0.7877708049385674","","","","","","","349","349","349","0.8441788108896111","0.8441788108896111","0.8441788108896111","349","349","349","0.7762445519493163","0.7762445519493163","0.7762445519493163","349","349","349","0.8231587460871389","0.8231587460871389","0.8231587460871389","","","","","",""
